student_id, scoala, math, limba romana, limba materna, medie, media materna
B10276760, Școala Gimnazială "Liviu Rebreanu", 7.20, 7.65, -, 7.43, 0
B10276923, Şcoala Gimnazială nr. 190, 8.65, 8.80, -, 8.73, 0
B10277186, Școala Gimnazială nr. 99, 7.35, 5.40, -, 6.38, 0
B10277343, Şcoala Gimnazială nr. 179, 7.90, 7.10, -, 7.5, 0
B10277356, Școala Gimnazială "Liviu Rebreanu", 7.15, 6.90, -, 7.03, 0
B10277438, Școala Gimnazială "Liviu Rebreanu", 8.90, 9.25, -, 9.07, 0
B10277578, Liceul Teoretic Internațional de Informatică Bucuresti, 9.10, 10.00, -, 9.55, 0
B10277587, Școala Gimnazială „Sfântul Calinic de la Cernica”, 7.35, 7.05, -, 7.2, 0
B10277618, Școala Gimnazială nr. 189, 7.25, 5.35, -, 6.3, 0
B10277633, Şcoala Gimnazială nr. 150, 9.80, 10.00, -, 9.9, 0
B10277714, Școala Gimnazială "Liviu Rebreanu", 4.00, 3.50, -, 3.75, 0
B10277822, Școala Gimnazială "Liviu Rebreanu", 7.10, 5.80, -, 6.45, 0
B10277860, Școala Gimnazială nr. 189, 5.00, 6.00, -, 5.5, 0
B10277976, Colegiul Naţional "Grigore Moisil", 9.70, 9.45, -, 9.57, 0
